;Code_Stocks
0;POPR4
1;PMET3
2;MNSA3
3;CLAN3
4;CSTB3
5;PORP4
6;MNSA4
7;IVTT3
8;CSTB4
9;CFLU4
10;GFSA3
11;PLDN4
12;DASA3
13;LCSA4
14;MAPT4
15;MAPT3
16;BHGR3
17;CBEE3
18;SBFG3
19;RJCP3
20;WEST3
21;ABYA3
22;PITI4
23;AMER3
24;LCSA3
25;MAGG3
26;NORD3
27;LINX3
28;BNCA3
29;AMIL3
30;CVCB3
31;BRTP3
32;IDVL11
33;ARTR3
34;OMGE3
35;PEFX3
36;PEFX5
37;HBSA3
38;TOYB4
39;IMBI3
40;CLAN4
41;ELMD3
42;TOYB3
43;EBTP3
44;EBTP4
45;FBRA4
46;BRTP4
47;ITEC3
48;IMBI4
49;PRTX3
50;TELB3
51;DFVA3
52;ASTA4
53;HBRE3
54;ORVR3
55;VGOR4
56;CRBM3
57;OPCT3
58;ECPR4
59;BAHI4
60;EMBR3
61;DFVA4
62;ECPR3
63;SMFT3
64;TAMM4
65;TAMM3
66;TCNO3
67;DTCY3
68;CRBM7
69;WMBY3
70;BAHI5
71;TDBH4
72;TANC4
73;ECOR3
74;TCNO4
75;CCIM3
76;TDBH3
77;BIOM3
78;FRIO3
79;GBIO33
80;TELB4
81;TXRX3
82;LECO4
83;SEDU3
84;TESA3
85;IGUA3
86;FGUI3
87;IGUA6
88;MEAL3
89;IGUA5
90;PRVI3
91;MBLY3
92;CPNY3
93;TERI3
94;VLID3
95;AHEB6
96;BIOM4
97;MSPA3
98;SEMP3
99;SZPQ4
100;MSPA4
101;MEDI3
102;BLUT3
103;IRBR3
104;ALPK3
105;AMAR3
106;BUET3
107;BKBR3
108;TLCP3
109;LFFE4
110;CGOS3
111;BAHI3
112;GSHP3
113;PINE4
114;PRML3
115;AZUL4
116;TXRX4
117;AHEB3
118;ADHM3
119;CEED4
120;BUET4
121;PMET5
122;LFFE3
123;FBMC3
124;OIBR4
125;SHOW3
126;TLCP4
127;BECE3
128;CTNM3
129;BECE4
130;CEED3
131;SGPS3
132;CRDE3
133;ESTR4
134;BLUT4
135;AHEB5
136;PNOR5
137;PNOR6
138;STRP4
139;TCSA3
140;VIVR3
141;LIXC3
142;BICB4
143;GOLL4
144;PMAM3
145;BICB3
146;IGBR6
147;IGBR5
148;ARLA4
149;OIBR3
150;LIXC4
151;MMXM3
152;OGXP3
153;VTLM3
154;KROT11
155;ARCZ3
156;ARCZ6
157;BISA3
158;KROT4
159;AVLL3
160;PLAS3
161;ESTR3
162;CTNM4
163;BCAL6
164;DJON4
165;SPRI6
166;ARLA3
167;SPRI3
168;SDIA3
169;SDIA4
170;DUQE3
171;BAHI11
172;JFEN3
173;SPRI5
174;IDVL4
175;PMAM4
176;PMET6
177;HOOT4
178;BBRK3
179;LGLO4
180;IDVL3
181;COGN3
182;MTIG4
183;ATMP3
184;RPMG3
185;DHBI3
186;LETO5
187;IENG3
188;INEP3
189;INEP4
190;LATM11
191;CELM3
192;IENG5
193;IGBR3
194;REEM4
195;CCXC3
196;BDLL4
197;DOCA3
198;FGUI4
199;BDLL3
200;WISA4
201;SNSY5
202;LETO3
203;HETA3
204;WISA3
205;DOCA4
206;DUQE4
207;PDGR3
208;FTRX3
209;SLED3
210;MTIG3
211;TEKA3
212;FTRX4
213;TENE7
214;FBMC4
215;LLIS3
216;SLED4
217;VPTA4
218;MEND6
219;RPMG4
220;TEKA4
221;VPSC4
222;VAGV3
223;DHBI4
224;MEND5
225;VAGV4
226;GAFP3
227;HETA4
228;ARTE3
229;RCTB33
230;TROR3
231;VPSC3
232;VPTA3
233;ARTE4
234;OSXB3
235;RCTB31
236;RCTB41
237;TROR4
238;GAFP4
239;MILK33
240;RCTB42
241;TENE5
242;CGOS4
243;OSAO4
244;CBMA3
245;CBMA4
246;VVEO3
247;LECO3
248;BRBI11
249;MATD3
250;EQMA6B
251;MLAS3
252;CCHI3
253;MODL3
254;MSAN4
255;ARPS3
256;REPA3
257;VSPT3
258;DUFB11
259;CMMA4
260;VVAX3
261;SEBB4
262;SLCP3
263;GALO3
264;NINJ3
265;CSPC3
266;SGEN3
267;BMEF3
268;KRSA3
269;ECIS3
270;MMAQ3
271;CLSA3
272;SALM4
273;IFCM3
274;INHA3
275;SJOS4
276;BSGR3
277;CBAV3
278;BBTG13
279;SASG3
280;SFSA3
281;DESK3
282;MLPA3
283;ALBA3
284;TNEP3
285;PINE3
286;BPAT33
287;BRIT3
288;ABCB3
289;TTEN3
290;GGPS3
291;ONCO3
292;BBTG11
293;DAYC3
294;CCHI4
295;PTIP3
296;MODL4
297;FIQE3
298;ARPS4
299;REPA4
300;VSPT4
301;SCLO3
302;JFAB4
303;APER3
304;BERG3
305;VVAX4
306;EQMA5B
307;MODL11
308;MSAN3
309;GALO4
310;ARML3
311;RRRP3
312;ICPI3
313;CSPC4
314;SGEN4
315;JBDU3
316;ECIS4
317;PRBC3
318;SEBB3
319;CZRS3
320;BPNM3
321;TRAD3
322;VGOR3
323;ILLS4
324;BOVH3
325;AERI3
326;TNEP4
327;SALM3
328;SJOS3
329;LATS3
330;AGEI3
331;RECV3
332;VNET3
